month,Medio,hhi,n_entities
2025-01,Sin Embargo,0.002270099954576403,9995
2025-01,The New York Times,0.007301926217044017,3793
2025-02,Animal Politico,0.0018395049135534489,4321
2025-02,El Economista,0.0027441903287081636,10457
2025-02,El Financiero,0.0036775789502855303,3009
2025-02,El Heraldo,0.0018116006766336612,10372
2025-02,El Pais,0.002418951317394469,9037
2025-02,El Sol de Mexico,0.0021511811864301446,12035
2025-02,El Universal,0.0025467261073671946,21209
2025-02,Excelsior,0.002327401696412062,7697
2025-02,Infobae,0.0005770342019989984,37216
2025-02,La Jornada,0.0016386642558307144,12068
2025-02,Latinus,0.0020781219751251725,6576
2025-02,Los Angeles Times,0.0016854365116932902,9771
2025-02,Proceso,0.0016594505155220467,9493
2025-02,Reporte Indigo,0.0018715053114976487,4458
2025-02,Sin Embargo,0.0020336617414974936,9285
2025-02,The New York Times,0.008284130144488889,3933
2025-03,Animal Politico,0.001296211140089732,5398
2025-03,El Economista,0.002558950557302728,11454
2025-03,El Financiero,0.0031630972638266278,3348
2025-03,El Heraldo,0.0016938180678924156,10412
2025-03,El Pais,0.0020481282162354893,10135
2025-03,El Sol de Mexico,0.0018540717088556245,12977
2025-03,El Universal,0.0022543034940295885,23170
2025-03,Excelsior,0.002138122679187603,8046
2025-03,Infobae,0.0007235983958901521,40248
2025-03,La Jornada,0.0014056198880695442,14358
2025-03,Latinus,0.0018614497031403322,7020
2025-03,Los Angeles Times,0.0014412992644331963,11079
2025-03,Proceso,0.0014823057183201997,10415
2025-03,Sin Embargo,0.002015715353191003,10280
2025-03,The New York Times,0.008106473649510998,2515
2025-04,Animal Politico,0.0012050519390168696,5040
2025-04,El Economista,0.0021321029685597718,11851
2025-04,El Financiero,0.003253087670406079,3093
2025-04,El Heraldo,0.0012643703558680008,11203
2025-04,El Pais,0.00187475849953888,8883
2025-04,El Sol de Mexico,0.0018691669072137295,12198
2025-04,El Universal,0.0020989387111933306,21948
2025-04,Excelsior,0.0017097351923327174,8245
2025-04,Infobae,0.0007064350223568514,40524
2025-04,La Jornada,0.0013019055754409068,14505
2025-04,Latinus,0.0016297116326727203,6230
2025-04,Los Angeles Times,0.0015052539599197013,11495
2025-04,Proceso,0.0010367585954480893,11324
2025-04,Sin Embargo,0.0021113540523724095,9318
2025-04,The New York Times,0.004150301806383463,307
2025-05,Animal Politico,0.000593349283717166,5246
2025-05,El Economista,0.0019977091124977154,11484
2025-05,El Financiero,0.0026116447742929186,3484
2025-05,El Heraldo,0.0011182656079388711,12108
2025-05,El Pais,0.0016253525556289294,9354
2025-05,El Sol de Mexico,0.0015463858079267441,12884
2025-05,El Universal,0.0013060412772505619,21596
2025-05,Excelsior,0.0016549810254000337,8938
2025-05,Infobae,0.0003468130153556113,42506
2025-05,La Jornada,0.0012198935883702211,15313
2025-05,Latinus,0.0015572437290144688,6468
2025-05,Los Angeles Times,0.0013714948326180182,11633
2025-05,Proceso,0.001049397150060877,10632
2025-05,Sin Embargo,0.0015888014100121507,10191
2025-06,Animal Politico,0.000509240068648009,5643
2025-06,El Economista,0.0010645454008022257,11924
2025-06,El Financiero,0.002669267093381888,3581
2025-06,El Heraldo,0.0012955719537503592,11970
2025-06,El Pais,0.0010527847460749344,9136
2025-06,El Sol de Mexico,0.0016840714902210737,13153
2025-06,El Universal,0.002070814826134221,21499
2025-06,Excelsior,0.0018343215814065478,8270
2025-06,Infobae,0.0006976130939642468,40733
2025-06,La Jornada,0.0014906190055299254,15501
2025-06,Latinus,0.0016194149235886056,6788
2025-06,Los Angeles Times,0.0015129478198198216,11132
2025-06,Proceso,0.0011794428421370627,11270
2025-06,Sin Embargo,0.0019817726972074616,10056
2025-06,The New York Times,0.00326974216672447,698
2025-07,Animal Politico,0.0006931519045989499,5203
2025-07,El Economista,0.0018270258131836577,11475
2025-07,El Financiero,0.0030285505474378013,3158
2025-07,El Heraldo,0.0011035762686291575,12258
2025-07,El Pais,0.001829464707708843,7891
2025-07,El Sol de Mexico,0.0016500087467981636,12619
2025-07,El Universal,0.0021779920887337978,20607
2025-07,Excelsior,0.001559139404933987,8526
2025-07,Infobae,0.000652864343248898,40234
2025-07,La Jornada,0.0013555564325169803,14073
2025-07,Latinus,0.001455261156782314,6502
2025-07,Los Angeles Times,0.0014595664611176237,10188
2025-07,Proceso,0.0010277849038994164,10741
2025-07,Sin Embargo,0.002225469485456072,9768
2025-07,The New York Times,0.0019242959107422643,825
2025-08,Animal Politico,0.0004835633063598707,5391
2025-08,El Economista,0.0016957730158203806,10892
2025-08,El Financiero,0.0027792074004715232,3159
2025-08,El Heraldo,0.001197055669005246,10615
2025-08,El Pais,0.0020150139207502256,7509
2025-08,El Sol de Mexico,0.0015017154145455396,11912
2025-08,El Universal,0.0019381030089846765,21032
2025-08,Excelsior,0.0015745764897652957,8095
2025-08,Infobae,0.00036891575180696145,54075
2025-08,La Jornada,0.001245708114022171,14166
2025-08,Latinus,0.0014400169541939614,7917
2025-08,Los Angeles Times,0.0007287555646842145,10874
2025-08,Proceso,0.001069956731507731,9959
2025-08,Sin Embargo,0.0023322202578420995,9352
2025-08,The New York Times,0.005502958579881549,221
2025-09,Animal Politico,0.00049664311501228,5415
2025-09,El Economista,0.000547162572324478,11987
2025-09,El Financiero,0.0008036109688447845,3670
2025-09,El Heraldo,0.00036391869705603667,12166
2025-09,El Pais,0.0005781772587488684,9178
2025-09,El Sol de Mexico,0.0004348597295976424,12309
2025-09,El Universal,0.0005845187734434286,21527
2025-09,Excelsior,0.00048575623233480586,8889
2025-09,Infobae,0.00016841394191822955,97398
2025-09,La Jornada,0.0004613344684236763,15867
2025-09,Latinus,0.0005776811050137978,7889
2025-09,Los Angeles Times,0.0004787936076731722,12023
2025-09,Proceso,0.0004086313670737501,9414
2025-09,Sin Embargo,0.0005426077564066967,10745
2025-09,The New York Times,0.0017832409972298887,542
2025-10,Animal Politico,0.0005119406172860412,5633
2025-10,El Economista,0.0005912110545404634,12630
2025-10,El Financiero,0.001137205704572945,3369
2025-10,El Heraldo,0.00039202848177554827,12806
2025-10,El Pais,0.0006263630381169465,11076
2025-10,El Sol de Mexico,0.00048500859200337676,13086
2025-10,El Universal,0.0007097747187296122,22143
2025-10,Excelsior,0.0006094577191300223,8758
2025-10,Infobae,0.00020561572602790119,97200
2025-10,La Jornada,0.0005775897006073657,15394
2025-10,Latinus,0.000586558093557337,9364
2025-10,Los Angeles Times,0.0005244264596806352,12058
2025-10,Proceso,0.00044344756903642743,9982
2025-10,Sin Embargo,0.0008311975419552816,10327
2025-10,The New York Times,0.0015565799586209621,617
2025-11,Animal Politico,0.0005692474464454002,5017
2025-11,El Economista,0.0005659296217424944,12346
2025-11,El Financiero,0.0012967884329533885,3169
2025-11,El Heraldo,0.000436234897530144,12077
2025-11,El Pais,0.0005763514800189195,11122
2025-11,El Sol de Mexico,0.0011225587566310639,4325
2025-11,El Universal,0.0007266570814457281,21642
2025-11,Excelsior,0.0005990269452229448,9147
2025-11,Infobae,0.00019934863642460574,95090
2025-11,La Jornada,0.0004895414129787072,16237
2025-11,Latinus,0.0006175974153362232,9922
2025-11,Los Angeles Times,0.0005042294981209672,11334
2025-11,Proceso,0.00040482117176875317,10794
2025-11,Sin Embargo,0.0008586655910826802,10168
2025-11,The New York Times,0.0036517761999975053,271
2025-12,Animal Politico,0.0010513477331151524,2064
2025-12,El Economista,0.0010774729495210402,3790
2025-12,El Financiero,0.0025261971422496704,1049
2025-12,El Heraldo,0.0006619268545705693,4229
2025-12,El Pais,0.0009120320419641029,3860
2025-12,El Sol de Mexico,0.01654963757873786,184
2025-12,El Universal,0.0011171612306415688,6905
2025-12,Excelsior,0.0013693183131470786,1972
2025-12,Infobae,0.0002854030642644666,30719
2025-12,La Jornada,0.0009730466374187798,4549
2025-12,Latinus,0.0012307221839966108,3173
2025-12,Los Angeles Times,0.0008234477585502471,3950
2025-12,Proceso,0.0007691537908961474,3350
2025-12,Sin Embargo,0.0013480083036925897,3138
2025-12,The New York Times,0.018672795173800476,54
