month,Medio,dist_to_global_mean,dist_to_mx_mean,dist_to_us_mean
2024-06,El Pais,0.25768666668773366,0.25737323939499057,0.8301866577117054
2024-06,El Sol de Mexico,0.13373108710785397,0.11903838543638867,0.878217518087542
2024-06,El Universal,0.17195125144695977,0.1597872342027319,0.873564654365278
2024-06,Excelsior,0.08523878395033124,0.07371770607500905,0.8501049247491478
2024-06,Infobae,0.18728059352244975,0.18416091892276032,0.8288840277687526
2024-06,La Jornada,0.12126121138843704,0.10672648106585192,0.8744945484724183
2024-06,Latinus,0.11768369794061151,0.09594640186446945,0.9120701661719867
2024-06,Los Angeles Times,0.7033167283063821,0.8607100803908061,0.09228468284864866
2024-06,Proceso,0.10798847619141927,0.09827309978914367,0.8457329155959753
2024-06,Reporte Indigo,0.2627605608284169,0.24339319723321617,0.9329490703883087
